,SEASON_ID,TEAM_ID,GAME_ID,GAME_DATE,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME,AWAY,OPPONENT,TARGET,SEASON_ID_5_x,TEAM_ID_5_x,WL_5_x,MIN_5_x,PTS_5_x,FGM_5_x,FGA_5_x,FG_PCT_5_x,FG3M_5_x,FG3A_5_x,FG3_PCT_5_x,FTM_5_x,FTA_5_x,FT_PCT_5_x,OREB_5_x,DREB_5_x,REB_5_x,AST_5_x,STL_5_x,BLK_5_x,TOV_5_x,PF_5_x,PLUS_MINUS_5_x,HOME_5_x,AWAY_5_x,HOME_NEXT_x,OPPONENT_NEXT_x,GAME_DATE_NEXT,SEASON_ID_5_y,TEAM_ID_5_y,WL_5_y,MIN_5_y,PTS_5_y,FGM_5_y,FGA_5_y,FG_PCT_5_y,FG3M_5_y,FG3A_5_y,FG3_PCT_5_y,FTM_5_y,FTA_5_y,FT_PCT_5_y,OREB_5_y,DREB_5_y,REB_5_y,AST_5_y,STL_5_y,BLK_5_y,TOV_5_y,PF_5_y,PLUS_MINUS_5_y,HOME_5_y,AWAY_5_y,HOME_NEXT_y,OPPONENT_NEXT_y
20,22021,1610612754,22100072,2021-10-29,0,241,98,37,93,0.398,8,29,0.276,16,23,0.696,11,35,46,20,9,7,14,27,-7.0,0,1,1610612751,0.0,22021.0,1610612754.0,0.2,250.2,108.6,41.0,91.2,0.4502,11.4,33.4,0.34140000000000004,15.2,19.6,0.7827999999999999,10.6,35.4,46.0,21.6,7.2,5.2,16.6,22.0,-5.4,0.4,0.6,1.0,1610612761,2021-10-30,22021.0,1610612761.0,0.6,240.4,109.2,41.0,90.8,0.4524,11.2,32.4,0.35,16.0,21.0,0.762,14.0,33.4,47.4,21.2,12.0,3.4,11.8,18.4,8.0,0.8,0.2,0.0,1610612754
21,22021,1610612766,22100073,2021-10-29,0,238,99,35,90,0.389,13,37,0.351,16,22,0.727,11,26,37,21,8,6,11,17,-15.0,0,1,1610612748,1.0,22021.0,1610612766.0,0.6,245.0,116.4,43.0,92.2,0.4676,13.8,34.6,0.3978,16.6,22.0,0.7632000000000001,11.2,33.4,44.6,25.4,9.8,4.4,14.2,17.8,2.0,0.2,0.8,1.0,1610612757,2021-10-31,22021.0,1610612757.0,0.6,238.8,113.6,41.6,90.8,0.457,15.0,39.8,0.3718,15.4,20.8,0.7312000000000001,10.6,40.4,51.0,21.4,8.6,5.2,15.6,18.8,7.0,0.8,0.2,0.0,1610612766
22,22021,1610612747,22100077,2021-10-29,1,240,113,46,84,0.548,12,27,0.444,9,10,0.9,11,31,42,24,9,6,20,20,12.0,1,0,1610612739,1.0,22021.0,1610612747.0,0.6,245.6,115.8,44.2,90.2,0.491,12.4,31.2,0.39980000000000004,15.0,19.4,0.7942,10.2,33.8,44.0,25.4,8.4,6.6,16.6,20.6,0.2,0.6,0.4,1.0,1610612745,2021-10-31,22021.0,1610612745.0,0.2,239.8,104.8,37.4,87.8,0.4264,13.4,37.2,0.3666,16.6,21.8,0.7644,10.2,34.8,45.0,21.8,9.4,4.6,17.4,21.6,-7.2,0.6,0.4,0.0,1610612747
23,22021,1610612758,22100074,2021-10-29,1,240,113,40,80,0.5,9,27,0.333,24,25,0.96,3,42,45,19,4,5,14,20,4.0,0,1,1610612740,0.0,22021.0,1610612758.0,0.6,240.2,111.0,41.0,90.4,0.45620000000000005,12.8,37.6,0.3382,16.2,20.6,0.763,8.8,36.6,45.4,23.4,6.4,4.8,13.8,20.0,-2.2,0.4,0.6,0.0,1610612742,2021-10-31,22021.0,1610612742.0,0.6,239.8,97.0,35.2,88.8,0.39380000000000004,13.0,42.0,0.306,13.6,19.2,0.6902,10.4,35.8,46.2,19.4,6.8,5.2,13.0,20.2,-6.8,0.4,0.6,1.0,1610612758
24,22021,1610612748,22100073,2021-10-29,1,240,114,43,91,0.473,9,35,0.257,19,19,1.0,16,44,60,23,6,3,17,20,15.0,1,0,1610612766,1.0,22021.0,1610612748.0,0.8,245.0,111.0,41.6,92.2,0.45120000000000005,9.4,31.8,0.2914,18.4,21.8,0.8695999999999999,12.6,42.8,55.4,23.6,6.8,2.2,14.8,21.8,15.2,0.6,0.4,0.0,1610612763,2021-10-30,22021.0,1610612763.0,0.6,246.2,114.0,42.8,96.6,0.44279999999999997,14.2,40.4,0.3604,14.2,17.6,0.8294,15.0,35.2,50.2,26.2,10.4,5.4,15.2,18.6,-0.6,0.2,0.8,1.0,1610612748
25,22021,1610612742,22100075,2021-10-29,0,240,75,23,78,0.295,8,37,0.216,21,27,0.778,6,30,36,14,8,3,15,17,-31.0,0,1,1610612743,1.0,22021.0,1610612742.0,0.6,239.8,97.0,35.2,88.8,0.39380000000000004,13.0,42.0,0.306,13.6,19.2,0.6902,10.4,35.8,46.2,19.4,6.8,5.2,13.0,20.2,-6.8,0.4,0.6,1.0,1610612758,2021-10-31,22021.0,1610612758.0,0.6,240.2,111.0,41.0,90.4,0.45620000000000005,12.8,37.6,0.3382,16.2,20.6,0.763,8.8,36.6,45.4,23.4,6.4,4.8,13.8,20.0,-2.2,0.4,0.6,0.0,1610612742
26,22021,1610612761,22100071,2021-10-29,1,241,110,43,86,0.5,9,30,0.3,15,22,0.682,9,31,40,18,11,2,7,18,1.0,1,0,1610612753,1.0,22021.0,1610612761.0,0.6,240.4,109.2,41.0,90.8,0.4524,11.2,32.4,0.35,16.0,21.0,0.762,14.0,33.4,47.4,21.2,12.0,3.4,11.8,18.4,8.0,0.8,0.2,0.0,1610612754,2021-10-30,22021.0,1610612754.0,0.2,250.2,108.6,41.0,91.2,0.4502,11.4,33.4,0.34140000000000004,15.2,19.6,0.7827999999999999,10.6,35.4,46.0,21.6,7.2,5.2,16.6,22.0,-5.4,0.4,0.6,1.0,1610612761
27,22021,1610612746,22100076,2021-10-29,0,240,92,34,87,0.391,15,42,0.357,9,16,0.563,6,37,43,17,7,5,12,14,-19.0,0,1,1610612757,1.0,22021.0,1610612746.0,0.2,240.0,102.8,38.8,92.4,0.4184,13.0,41.0,0.3172,12.2,17.2,0.7022,8.4,32.6,41.0,24.0,11.4,3.8,11.4,21.4,-1.0,0.6,0.4,1.0,1610612760,2021-11-01,22021.0,1610612760.0,0.2,240.0,99.4,36.4,86.0,0.4236,11.4,36.8,0.3094,15.2,20.4,0.7394,7.2,34.8,42.0,20.0,8.2,4.0,14.6,16.0,-13.2,0.6,0.4,0.0,1610612746
28,22021,1610612737,22100082,2021-10-30,0,239,94,36,95,0.379,8,22,0.364,14,19,0.737,20,29,49,24,6,1,19,17,-28.0,0,1,1610612755,1.0,22021.0,1610612737.0,0.4,239.8,104.8,41.6,93.6,0.44719999999999993,8.8,27.8,0.3172,12.8,17.2,0.7322,14.8,35.2,50.0,23.0,6.0,2.8,13.0,17.8,-4.8,0.2,0.8,1.0,1610612764,2021-11-01,22021.0,1610612764.0,0.8,255.4,115.6,41.8,95.2,0.442,12.0,34.4,0.35019999999999996,20.0,25.0,0.8074,10.6,39.6,50.2,20.6,6.0,5.8,11.0,19.2,2.0,0.6,0.4,0.0,1610612737
29,22021,1610612759,22100085,2021-10-30,1,240,102,39,95,0.411,7,31,0.226,17,24,0.708,8,41,49,28,12,3,9,13,9.0,0,1,1610612749,0.0,22021.0,1610612759.0,0.2,244.4,105.8,42.8,94.8,0.4518,9.6,32.0,0.2986,10.6,16.2,0.68,10.4,36.2,46.6,27.0,9.8,5.2,14.0,17.2,-3.2,0.4,0.6,0.0,1610612754,2021-11-01,22021.0,1610612754.0,0.2,245.2,100.6,37.6,88.0,0.42940000000000006,11.0,35.2,0.3136,14.4,18.8,0.7704,10.8,34.8,45.6,21.0,7.8,6.0,18.0,21.0,-5.8,0.6,0.4,1.0,1610612759
